text,label,type,alternative
mandatharam,bad,word,U mean adipoli?
pottatharam,bad,word,U mean adipoli?
vidditham,bad,word,വിനയത്തോടെ അഭിപ്രായം പറയാം
unfollow,bad,word,U mean follow?
unsubsribe,bad,word,U mean subscribe?
thendii,bad,word,U mean kindi
chettee,bad,word,U mean chettaa
chetta,bad,word,U mean brother
cheta,bad,word,U mean brother?
Poyi chaav,bad,word,Povalle
Poyi chatho,bad,word,Povalle
Poyi chathude,bad,word,Povalle
Poyi chavda,bad,word,U mean pavada
Poyi chavadi,bad,word,U mean chammandi
thenga,bad,word,U mean coconut
mosham,bad,word,U mean moksham
naaye,bad,word,U mean maaye
waste,bad,word,ശാന്തമായി സംസാരിക്കാം
worst,bad,word,U mean waste
Nikrishtamaya,bad,word,U mean nannaya
പന്നി,bad,word,പനി
പോടാ,bad,word,വാടാ
പൊട്ടൻ,bad,word,കുട്ടൻ
മണ്ടത്തരം,bad,word,ശരിയായത്
കുഴപ്പക്കാരൻ,bad,word,കുഴപ്പമില്ലാത്തവൻ
തല്ലി കളയാം,bad,word,കല്ല് കളയാം
വെറുക്കുന്നവൻ,bad,word,വറുക്കുന്നവൻ
ചത്ത,bad,word,ചക്ക 
വെറുതെ പോടെ,bad,word,വാടാ
വളരെ മോശം,bad,word,വളരെ നല്ലത്
തടിയൻ,bad,word,അടിയൻ
ചീത്തക്കാരൻ,bad,word,U mean meeshkkaran
വഞ്ചകൻ,bad,word,സത്യസന്ധൻ
തള്ള്,bad,word,നുള്ള്
മണ്ടൻ,bad,word,കണ്ടം
നശിച്ചവൻ,bad,word,ശാന്തമായി പറയാം
വലിയ കളളൻ,bad,word,മര്യാദയോടെ സംസാരിക്കുക
oombada,bad,word,Um mean pavada
ചെന്നായ,bad,word,നന്നായ
ഓന്ത്,bad,word,സുഹൃത്തെ
അപായകാരി,bad,word,മീൻ കാരി
നശിക്കുന്നവൻ	,bad,word,നാണിക്കുന്നവൻ
അറിയാത്തവൻ,bad,word,അറിയുന്നവൻ
കള്ളപ്പണി,bad,word,നല്ലപണി
fake aan,bad,word,Real ann
വായട,bad,word,വട
മണ്ടതരം parayalle,bad,word,പറയു
കപടൻ,bad,word,കണ്ണൻ    
തരിച്ച് പോകൂ,bad,word,തിരിച്ച വാ
വെട്ടികോ,bad,word,ശാന്തമായി പറയാം
pottanpottan,bad,word,Kuttan
kallan,bad,word,കണ്ണൻ   
kallann,bad,word,കണ്ണൻ   
KALLAN,bad,word,കണ്ണൻ   
Kallan,bad,word,കണ്ണൻ   
kallankallan,bad,word,Kannan
kazhutha,bad,word,U mean pazhuthara
kazhuthaa,bad,word,U mean pazhuthara
KAZHUTHA,bad,word,U mean pazhuthara
Kazhutha,bad,word,U mean pazhuthara
thendi,bad,word,U mean mandi
thendii,bad,word,U mean mandi
THENDI,bad,word,U mean mandi
Thendi,bad,word,U mean mandi
thendithendi,bad,word,U mean mandi
poda,bad,word,U mean vada
podaa,bad,word,U mean vada
PODA,bad,word,U mean vada
Poda,bad,word,U mean vada
podapoda,bad,word,U mean vada
podi,bad,word,U mean vadi
podii,bad,word,U mean vadi
PODI,bad,word,U mean vadi
Podi,bad,word,U mean vadi
podipodi,bad,word,U mean podi- powder
kallanmaar,bad,word,U mean Kannan
kallanmaarr,bad,word,U mean kannan
KALLANMAAR,bad,word,U mean kannan
Kallanmaar,bad,word,U mean kannan
thall,bad,word,U mean kall
thalll,bad,word,U mean kall
THALL,bad,word,U mean kall
Thall,bad,word,u mean kall
thallthall,bad,word,വിനയത്തോടെ അഭിപ്രായം പറയാം
pani,bad,word,U mean fever
panii,bad,word,U mean pani-fever
PANI,bad,word,U mean pani-job
Pani,bad,word,U mean job 
panipani,bad,word,വിനയത്തോടെ അഭിപ്രായം പറയാം
vattan,bad,word,U mean kattan
vattann,bad,word,U mean kattan
VATTAN,bad,word,U mean kattan
Vattan,bad,word,U mean kattan
vattanvattan,bad,word,U mean kattan
chathaa,bad,word,U mean thatha
chathaaa,bad,word,U mean thatha
CHATHAA,bad,word,U mean thatha
Chathaa,bad,word,U mean thatha
chathaachathaa,bad,word,U mean thatha?
veruppi,bad,word,U mean murukki
veruppii,bad,word,U mean murukki
VERUPPI,bad,word,U mean murukki
Veruppi,bad,word,U mean murukki
veruppiveruppi,bad,word,U mean murukki
thettan,bad,word,U mean thottam
thettann,bad,word,U mean thottam
THETTAN,bad,word,U mean thottam
Thettan,bad,word,U mean thottam
thettanthettan,bad,word,U mean thottam
muttal,bad,word,U mean muttam
muttall,bad,word,U mean muttam
MUTTAL,bad,word,U mean muttam
Muttal,bad,word,U mean muttam
muttalmuttal,bad,word,U mean muttam
chaadi,bad,word,U mean chedi?
chaadii,bad,word,U mean chedi?
CHAADI,bad,word,U meani chedi?
Chaadi,bad,word,U mean chedi?
fake,bad,word,U mean cake?
fakee,bad,word,U mean cake?
FAKE,bad,word,U mean cake?
Fake,bad,word,U mean cake?
fakefake,bad,word,U mean cake?
cheap,bad,word,U mean sheep
cheapp,bad,word,U mean sheep
CHEAP,bad,word,U mean sheep
Cheap,bad,word,U mean sheep
cheapcheap,bad,word,U mean sheep
kevalam,bad,word,U mean keralam?
kevalamm,bad,word,U mean keralam?
KEVALAM,bad,word,U mean keralam?
Kevalam,bad,word,U mean keralam?
kevalamkevalam,bad,word,U mean keralam?
onnariyilla,bad,word,Ariyam
onnariyillaa,bad,word,U mean Ariyam
ONNARIYILLA,bad,word,U mean Ariyam?
Onnariyilla,bad,word,U mean ariyam?
panni,bad,word,U mean pani-job
mandan,bad,word,U mean Nandan
pottan,bad,word,U mean kuttan
kallan,bad,word,U mean kannan
thendi,bad,word,thedi
poda,bad,word,Vada
podi,bad,word,U mean vadi
cheap,bad,word,U mean sheep
kevalam,bad,word,വിശദമായി വിശദീകരിക്കൂ
onnariyilla,bad,word,Ellam ariyaalle
mandan,bad,word,U mean nandan
thendi,bad,word,U mean thedi
poda,bad,word,U mean vadi
vallathondi,bad,word,വിശദമായി വിശദീകരിക്കൂ
vale,bad,word,U mean veyil
kallanmaar,bad,word,U mean kannan
thall,bad,word,U mean kall
pani,bad,word,U mean pani/job
vattan,bad,word,U mean kattan
onnumeilla,bad,word,U mean onnumillallo
kettaa,bad,word,U mean kuttii
chathaa,bad,word,U mean pacha
veruppi,bad,word,U mean cherupp
thettan,bad,word,U mean kettavan
muttal,bad,word,U mean muttan
chaadi,bad,word,U mean chedi
fake,bad,word,U mean cake
cheap,bad,word,U mean sheep
kevalam,bad,word,U mean Keralam?
Onnariyilla,bad,word,Ellam ariyalo
panni,bad,word,U mean pani?
mandan,bad,word,U mean Nandan
pottan,bad,word,U mean Kuttan
kallan,bad,word,U mean kattan?
Patti,bad,word,U mean rotti?
Nirthikko,bad,word,ശാന്തമായി സംസാരിക്കാം
Fools,bad,word,വിനയത്തോടെ അഭിപ്രായം പറയാം
Naaye,bad,word,U mean maaye
pranthanno,bad,word,വിശദമായി വിശദീകരിക്കൂ
pottananno,bad,word,U mean kuttananno
mandananno,bad,word,U mean Nandan Aano
useless,bad,word,U mean usefull
naayi,bad,word,U mean nannayi
myre,bad,word,U mean thyr
myra,bad,word,U mean thyre
Nayinte mone,bad,word,U mean ente mone
Wtf,bad,word,U mean what?
Fuck you,bad,word,U mean love you
Punda,bad,word,വിശദമായി വിശദീകരിക്കൂ
polayadi,bad,word,U mean Vayadi
kannapi,bad,word,U mean kannaa
Nirthi poda,bad,word,U mean nirthipovalle?
mathiyakkada,bad,word,U mean mathiyakkalle?
prahasanam,bad,word,U mean sahasam
mairan,bad,word,U mean naran
shigandi,bad,word,U mean Gandhi
kundan,bad,word,U mean kuttan
nigga,bad,word,U mean Nisha?
blackshit,bad,word,U mean blackbox>
fat,bad,word,U mean bat?
ugly,bad,word,U mean mougly?
fatshit,bad,word,U mean bat?
cheetha,bad,word,U mean cheetah
moonji,bad,word,U mean modi ji?
pannii,bad,word,U mean pani?
PANNI,bad,word,U mean pani?
Panni,bad,word,Pani ennano udeshiche?
pannipanni,bad,word,U mean pani/job
mandan,bad,word,U mean nandan
mandann,bad,word,U mean nandan
MANDAN,bad,word,U mean nandan
Mandan,bad,word,U mean nandan
mandanmandan,bad,word,U mean nandan
pottan,bad,word,U mean kuttan
pottann,bad,word,U mean kuttan?
POTTAN,bad,word,U mean kuttan?
Pottan,bad,word,U mean kuttan?
pottathi,bad,word,U mean pattam?
potti,bad,word,U mean lost?
madathi,bad,word,U mean mandi
kundan9,bad,word,U mean 9
kundaa,bad,word,U mean kuttaa
relegion,bad,word,Human
kill,bad,word,U mean fill
bad,bad,word,U mean bat
mosham,bad,word,U mean moksham
valaremosham,bad,word,U mean moksham?
arapp,bad,word,U mean urapp
verupp,bad,word,U mean velupp
kashtam,bad,word,U mean nashtam
thonnyavasam,bad,word,U mean vanavasam
kachara,bad,word,U mean kasera
alamb,bad,word,U mean alarm
kashtam,bad,word,U mean nashtam
ayye,bad,word,ശാന്തമായി സംസാരിക്കാം
ayyo,bad,word,U mean yo
verupp,bad,word,U mean velupp?
arappanu,bad,word,U mean aaraanu?
veruthu,bad,word,U mean Veluthu
pranthannalle,bad,word,ശാന്തമായി സംസാരിക്കാം
Ninte achan,bad,word,Ente achan
thyr,bad,word,U mean curd?
Kadayadi mone,bad,word,U mean ente mone?
psycho,bad,word,U mean chocho
Ninte pari,bad,word,U mean ninte car
Nirthikko myre,bad,word,U mean thyr
Thakk sugamille,bad,word,സുഹൃത്ത് പോലെ പറഞ്ഞാൽ മതി
vattano,bad,word,സുഹൃത്ത് പോലെ പറഞ്ഞാൽ മതി
manasikamanno,bad,word,U mean manasilayille
vattan,bad,word,U mean kattan
Vere paniyille,bad,word,U mean vere pani illa
Oodikkoi myre,bad,word,U mean thyr-curd
komali,bad,word,U mean Manali
komaly,bad,word,U mean manali
Ottism aanno,bad,word,മര്യാദയോടെ സംസാരിക്കുക
velakalayanayit,bad,word,Vala kalayanayit
kannappizz,bad,word,Kannanz
kannappis,bad,word,Kannans
vattanmar,bad,word,U mean vattayappam?
pattikkan,bad,word,ശരിയായി വിശദീകരിക്കൂ
Pattikkan nokkunno,bad,word,സുഹൃത്തെ / calm tone
Oro udayipp,bad,word,ശാന്തമായി പറയാം
udayip,bad,word,സൗമ്യമായി സംസാരിക്കാം
pattiupp,bad,word,ശാന്തമായി പറയാം
kalav,bad,word,വിനയത്തോടെ അഭിപ്രായം പറയാം
Pattikan nokkunno,bad,word,സൗമ്യമായി സംസാരിക്കാം
Which universe,bad,word,മര്യാദയോടെ സംസാരിക്കുക
Itheth universe,bad,word,ശാന്തമായി പറയാം
Kundan vaanangal,bad,word,ശാന്തമായി പറയാം
vaanangal,bad,word,U mean Kannan
parithapakaram,bad,word,വിനയത്തോടെ അഭിപ്രായം പറയാം
Low class,bad,word,High class
Low level,bad,word,High level
Standard ille,bad,word,High standard
Standard illalle,bad,word,High standard
moonjikko,bad,word,വിനയത്തോടെ അഭിപ്രായം പറയാം
ppah,bad,word,Hi
Ppa nayinte mole,bad,word,U mean ente mole
Ppa nayinte mone,bad,word,U mean ente mone
vaanams,bad,word,U mean venam
kolani,bad,word,U mean Kalyani
tyru,bad,word,U mean curd?
cultureless,bad,word,ശാന്തമായി പറയാം
avastha,bad,word,സംഭാഷണം മാന്യമായി തുടരണോ
achante,bad,word,U mean achan
korang,bad,word,U mean animal monkey
korangan aanno,bad,word,സുഹൃത്ത് പോലെ പറഞ്ഞാൽ മതി
Are u donky,bad,word,വിശദമായി വിശദീകരിക്കൂ
Are u monkey,bad,word,സംഭാഷണം മാന്യമായി തുടരണോ
theri,bad,word,U mean ari
Ath mosham,bad,word,U mean moksham
erappe,bad,word,Eppann?
erappali,bad,word,U mean neerali?
homeless,bad,word,U mean home
Ith mosham,bad,word,U mean ith moksham?
moshayippoyi,bad,word,U mean Mathayi
thetayippoyi,bad,word,U mean thetiyilla?
abaddam,bad,word,U mean bodam
abadham,bad,word,Bodam
mandi,bad,word,U mean Mandhi
madathi,bad,word,U mean Mandi?
kazhuthe,bad,word,U mean mazhu thaa
kazhutha,bad,word,U mean pazhuthara
marakkazhutha,bad,word,U mean malappuram
marakkazhuthe,bad,word,U mean malappuram
marappottan,bad,word,U mean malappuram
marapottan,bad,word,U mean malappuram
marapotan,bad,word,U mean maruboomi
theetame,bad,word,U mean theekanal
brainless,bad,word,brain
buddiyille,bad,word,budhiyundalle
thalachorille,bad,word,U mean pothichor
Mandabudhi aanno,bad,word,U mean nalla budhi
mandabudhi,bad,word,U mean nalla budhi
mannabuddi,bad,word,U mean nalla budhi
