text,label,type
Adipoliyayin,good,word
sooper_macha,good,word
Upakarappedum,good,word
സഹായഹസ്തം,good,word
പുണ്യം,good,word
മധുരം,good,word
സുഖം,good,word
ശുഭത്വം,good,word
പ്രകാശം,good,word
നന്മ_തെളിയുക,good,word
വീര്യം,good,word
ഭദ്രത,good,word
ഹൃദയത്വം,good,word
caring_nature,good,word
Sooper,good,word
pure_intention,good,word
positive_mindset,good,word
peaceful_heart,good,word
calm_attitude,good,word
balanced_energy,good,word
kind_behavior,good,word
soft_words,good,word
happy_mood,good,word
clear_thoughts,good,word
good_character,good,word
bright_smile,good,word
warm_heart,good,word
helpful_attitude,good,word
motivated_spirit,good,word
pure_soul,good,word
clean_mindset,good,word
smiling_nature,good,word
uplifted_spirit,good,word
hope_filled,good,word
gentle_speech,good,word
respectful_tone,good,word
honest_mindset,good,word
grateful_spirit,good,word
healing_energy,good,word
friendly_thoughts,good,word
supportive_heart,good,word
positive_actions,good,word
സന്തോഷം,good,word
സഹനശക്തി,good,word
കൃതജ്ഞത,good,word
ഉദാരത,good,word
സഹൃദയം,good,word
സ്നേഹപൂർവ്വം,good,word
ദയാലുത,good,word
സത്യം,good,word
സൗഹൃദം,good,word
മനസ്സാന്തി,good,word
പുഞ്ചിരി,good,word
വാത്സല്യം,good,word
കരുതലോടെ,good,word
ഉത്തരവാദിത്തം,good,word
അര്‍പ്പണം,good,word
ആത്മശാന്തി,good,word
സഹകരണത്തിന്,good,word
ആശംസകൾ,good,word
ഒത്തു_ചേരൽ,good,word
നന്മയുടെ_വഴി,good,word
സൗന്ദര്യം,good,word
വിജയം,good,word
ആശീർവ്വാദം,good,word
Adipoli,good,word
thudaruka,good,word
set,good,word
manoharam,good,word
nallath,good,word
usefull,good,word
very_usefull,good,word
interesting,good,word
good,good,word
very_good,good,word
സൗജന്യം,good,word
മനോഹാരിത,good,word
ശുദ്ധ_മനസ്സ്,good,word
ശാന്തമായ_വാക്കുകൾ,good,word
ഉത്തമത്വം,good,word
സുശീലത,good,word
സ്നേഹബോധം,good,word
വിശുദ്ധി,good,word
ധൈര്യശാലി,good,word
